GT,Score
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P1
Limbal stem cell deficiency,P0
Vulvar intraepithelial neoplasia,P1
Complete atrioventricular septal defect,P1
Brugada syndrome,P1
Cystic fibrosis,P1
Isolated spina bifida,P1
Isolated biliary atresia,P1
Anal fistula,P1
Adenovirus infection in immunocompromised patients,P5
Non-infectious posterior uveitis,P5
Pemphigus vulgaris,P1
Hypoplastic left heart syndrome,P3
Charcot-Marie-Tooth disease type 1,P1
Familial isolated dilated cardiomyopathy,P5
Gastroschisis,P1
Trisomy 18,P0
Recessive X-linked ichthyosis,P5
Acute peripheral arterial occlusion,P5
Hereditary hemorrhagic telangiectasia,P1
Primary membranoproliferative glomerulonephritis,P1
Buerger disease,P1
Tuberculosis,P1
Herpes simplex virus stromal keratitis,P1
Microtia,P1
Rare carcinoma of pancreas,P1
Systemic sclerosis,P1
Hepatocellular carcinoma,P1
Mucopolysaccharidosis type 4A,P1
Young-onset Parkinson disease,P1
Lennox-Gastaut syndrome,P1
Familial cerebral cavernous malformation,P0
Atopic keratoconjunctivitis,P1
Dentinogenesis imperfecta type 2,P1
Dentinogenesis imperfecta,P1
Thyroid ectopia,P1
Progressive supranuclear palsy,P1
Idiopathic intracranial hypertension,P1
Cystinuria,P1
Chronic primary adrenal insufficiency,P1
Holoprosencephaly,P1
Supravalvular aortic stenosis,P5
Hirschsprung disease,P1
Stargardt disease,P1
Bronchopulmonary dysplasia,P1
Pleural empyema,P0
Gastrointestinal stromal tumor,P4
Mucolipidosis type III alpha/beta,P0
Thyroid carcinoma,P1
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P1
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P1
Rare lymphatic malformation,P5
Stickler syndrome,P1
CD4+/CD56+ hematodermic neoplasm,P0
Small cell lung cancer,P1
Medium chain acyl-CoA dehydrogenase deficiency,P5
Huntington disease,P1
Multiple myeloma,P1
Omphalocele,P1
"Focal, segmental or multifocal dystonia",P5
Idiopathic pulmonary fibrosis,P5
Systemic mastocytosis,P1
Hemophilia A,P1
Neuroblastoma,P1
Acute lymphoblastic leukemia,P1
Mayer-Rokitansky-Küster-Hauser syndrome,P1
Williams syndrome,P1
Alopecia totalis,P1
Mastocytosis,P1
Partial deep dermal and full thickness burns,P1
Acquired aneurysmal subarachnoid hemorrhage,P1
Rett syndrome,P1
Phenylketonuria,P1
Nephroblastoma,P1
Familial or sporadic hemiplegic migraine,P5
Acute myeloid leukemia,P1
Aicardi-Goutières syndrome,P1
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P0
Catecholaminergic polymorphic ventricular tachycardia,P3
Septo-optic dysplasia spectrum,P1
Dermatofibrosarcoma protuberans,P0
Duane retraction syndrome,P0
Sickle cell anemia,P1
Polymalformative genetic syndrome with increased risk of developing cancer,P5
Aplasia cutis congenita,P1
Duchenne muscular dystrophy,P1
Dravet syndrome,P1
