GT,Score
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P1
Limbal stem cell deficiency,P0
Vulvar intraepithelial neoplasia,P5
Complete atrioventricular septal defect,P0
Brugada syndrome,P1
Cystic fibrosis,P1
Isolated spina bifida,P1
Isolated biliary atresia,P1
Anal fistula,P1
Adenovirus infection in immunocompromised patients,P0
Non-infectious posterior uveitis,P1
Pemphigus vulgaris,P1
Hypoplastic left heart syndrome,P1
Charcot-Marie-Tooth disease type 1,P1
Familial isolated dilated cardiomyopathy,P0
Gastroschisis,P1
Trisomy 18,P0
Recessive X-linked ichthyosis,P1
Acute peripheral arterial occlusion,P5
Hereditary hemorrhagic telangiectasia,P1
Primary membranoproliferative glomerulonephritis,P5
Buerger disease,P1
Tuberculosis,P1
Herpes simplex virus stromal keratitis,P5
Microtia,P1
Rare carcinoma of pancreas,P1
Systemic sclerosis,P1
Hepatocellular carcinoma,P5
Mucopolysaccharidosis type 4A,P0
Young-onset Parkinson disease,P1
Lennox-Gastaut syndrome,P1
Familial cerebral cavernous malformation,P0
Atopic keratoconjunctivitis,P1
Dentinogenesis imperfecta type 2,P5
Dentinogenesis imperfecta,P1
Thyroid ectopia,P5
Progressive supranuclear palsy,P3
Idiopathic intracranial hypertension,P1
Cystinuria,P1
Chronic primary adrenal insufficiency,P1
Holoprosencephaly,P0
Supravalvular aortic stenosis,P1
Hirschsprung disease,P1
Stargardt disease,P1
Bronchopulmonary dysplasia,P1
Pleural empyema,P0
Gastrointestinal stromal tumor,P5
Mucolipidosis type III alpha/beta,P0
Thyroid carcinoma,P1
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P1
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P1
Rare lymphatic malformation,P0
Stickler syndrome,P2
CD4+/CD56+ hematodermic neoplasm,P5
Small cell lung cancer,P1
Medium chain acyl-CoA dehydrogenase deficiency,P5
Huntington disease,P1
Multiple myeloma,P3
Omphalocele,P1
"Focal, segmental or multifocal dystonia",P1
Idiopathic pulmonary fibrosis,P0
Systemic mastocytosis,P1
Hemophilia A,P1
Neuroblastoma,P0
Acute lymphoblastic leukemia,P0
Mayer-Rokitansky-Küster-Hauser syndrome,P1
Williams syndrome,P5
Alopecia totalis,P1
Mastocytosis,P1
Partial deep dermal and full thickness burns,P0
Acquired aneurysmal subarachnoid hemorrhage,P5
Rett syndrome,P1
Phenylketonuria,P1
Nephroblastoma,P1
Familial or sporadic hemiplegic migraine,P2
Acute myeloid leukemia,P5
Aicardi-Goutières syndrome,P0
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P5
Catecholaminergic polymorphic ventricular tachycardia,P1
Septo-optic dysplasia spectrum,P1
Dermatofibrosarcoma protuberans,P0
Duane retraction syndrome,P0
Sickle cell anemia,P0
Polymalformative genetic syndrome with increased risk of developing cancer,P5
Aplasia cutis congenita,P1
Duchenne muscular dystrophy,P1
Dravet syndrome,P1
